text,parent_text,tox_codes_oc,label_oc,tox_codes_ic,label_ic
though I should have googled before saying that. Hi5 indexes every profile. So a search for hi5.com results in thousands upon thousands of profile pages completely flooding the search.,Beg pardon. ,[0. 0. 0.],0,[0. 0. 0.],0
"If anyone cares for my opinion, i think the current ""2007 John Edwards controversy"" is perfectly fine. ", Let's call it gay controversy. This controversy is gay. ,[0. 0. 0.],0,[0. 0. 0.],0
I think Dragostea Din Tei could include a line such as 'Dragostea Din Tei is also possible in the gay community'. I don't like anything labelling it as a song for gays. ," Yes, Dragostea is authentic gay culture. ",[0.  0.5 1. ],0,[0. 0. 0.],0
 I would agree with a removal of the flag field.  ,Thanks. It is definitely worth treading carefully when approaching this.  • ,[0. 0. 0.],0,[0. 0. 0.],0
May be better after everything dies down. ,"In fact, less than a few months ago—closed Jan 23.  Wikipedia:Featured article review/Barack Obama/archive1   ",[0. 0. 0.],0,[0. 0. 0.],0
" Yes, thank you ) Very much appreciated ) — ", I edit  sometimes. ,[0. 0. 0.],0,[0. 0. 0.],0
"Have you... SHUT THAT BLOODY BAZOUKI UP!  '''''' , I AM THE GREAT DESTROYER!)",Could be. –  ,[0. 0. 1.],0,[1.  0.  0.  0.5],0
"Heeeeeello! F****in' nice of you to forget me. And there was COFS as well. And BTW, what is ""a consensus"" per Wikipolicy? ",It's there already... and the consensus (exception: Seteve Dufour) was that the material should be included. ,[1.  1.  0.5],1,[1. 1. 1.],1
"If I'm Sollog, then I'm hardly a sockpuppet, am I?  And you are NOT ALLOWED to edit someone's user page against their wishes.","That's not baiting. If you are Sollog, that's what we've established you to be. That's not my problem, that's your own, caused by your ''own'' behaviour on this website (and off it I might add!) - ",[1. 0. 1.],1,[1.  0.5 1. ],1
"Yes, logic dictates that would be the case, but evidence does NOT equal proof. (Surely any fan of the game series would already know that, but...)",Which is why I linked to all that other crap. ,[0. 0. 0.],0,[1. 1. 0.],1
" Yep, I was so upset when I saw the puppet box on Buffadren."," OK !!! It time to remove all references from the TT. Im sick of all Mauco puppets and lies. Buffarden, other puppet of Mauco!! Let us start from a clean version !! ",[0. 0. 0.],0,[0. 0. 0.],0
"I'm saying we'll help you out in those situations. Unfortunately a lot of users don't understand that guidelines are not absolute truth, but that doesn't mean we get rid of the guideline.  ",That doesn't resolve the difficulty that simply because something exists here it will be quoted as absolute truth. ,[0. 0. 0.],0,[0. 0. 0.],0
Shall I add this now to the project page? Ü,"For GAs, you'll only need 1 supporter...   ",[0. 0. 0.],0,[0. 0. 0.],0
" Well its 32 articles now. Good job! Althogh some of them were a bit rubbish, they didnt go through the proper  procedure in some cases. "," Well, for what it's worth, I had removed the speedy delete tag from Ferion when I answered on your talk page. ",[0. 0. 0.],0,[0. 0. 0.],0
What is that? Is that just for use at the portal? — acan —,See also Template:LGBT topics. ,[0. 0. 0.],0,[0. 0. 0.],0
"Gosh, instead of wasting time on semantics, why not go improve an article? Perhaps I meant ""crap"". This project has 52,000 articles in scope and only 9 of them are Featured. That's ""crap"". "," Given my aversion to mindreading, I have to ask: What exactly is ""sobering"" here? Better yet, ''why'' is it ""sobering""? Cheers, ",[1. 1. 1.],1,[1. 1. 1.],1
"Kbh3rd, what is your take on the modified scripts? ",Anyone is welcome to steal my edited version of this vandal tool. Here: .  '''''''''' '''/''',[0. 0. 0.],0,[0. 0. 0.],0
ROTFL ROTFL ROTFL!!!! =D    | ,LOL! And acceptance our weapons! And gay anthems our battlecries! Hehehe - I'll stop now. ;)  (Have a nice day!),[0. 0.],0,[0. 0.],0
"Perhaps the bot should be disabled until the fix is ready, then.  Are you tracking the damage?    I just rv'd this one again:  Happy to help you track down and fix damage, if you like. Thanks, ",Because it's fixed in the ''next release''. 4.0.0.0 should be coming out soon I think. TeckWiz is now  @(Let's go Yankees!),[0. 0. 0.],0,[0. 0. 0.],0
"Gerash, please follow your own advice of being civil and stop using terms like BS.  •"," ""holocaust"" revisionism is correct. The rest are total BS forced into the lead by powerful admins. If he was anti-Jewish or anti-israeli, then there would be no news like this coming out of Iran.",[0. 1. 1.],1,[1. 0. 0.],0
"From what I see, quotes or italics, same for the words comprising the name. - ",So basicaly you're saying it doesn't matter as long as the name is in quotes?,[0. 0. 0.],0,[0. 0. 0.],0
That was the edit summary when he blanked the main page.  ,You're shitting me. Nobody could be that stupid. This is an ''admin account''. You know what sort of damage can be done with one of those. ,[0. 0. 0.],0,[0. 0. 1.],0
"Agreed, this is ugly and distracting. At the very least remove the text and make it smaller. Better yet, stop the copyright paranoia.  ",The entire ''idea'' is ugly.  ,[0. 0. 0.],0,[0. 1. 0.],0
don't wanna butt in but shouldn't we be using a older Goku image instead of the young GT one? ,"Let me know when you're gonna start doing those things with me. See, initially I wanted to take care of the Goku image thing quickly; but, which do you want to help me with first? '''~'''",[0. 0. 0.],0,[0. 0. 0.],0
"""Gay men"" is fine, because it was gay men only who were persecuted, so far as I know.  ","How about 'gay men', which is what the relevant section says, and, while we're at it, I would argue for 'disabled people'. ",[0. 0. 0.],0,[0. 0. 0.],0
"This is flogging a dead horse, but I was speaking using the Dawn of War version as guidelines.","I see. I can stop putting those in, if you want...",[0. 0. 0.],0,[0. 0. 0.],0
" Still not sure about the status of this, but it'll do for now. ","That would be Image:TARDIS.jpg, which I've transparentised (dreadfully) to Image:TARDIS-trans.png. '''''' ",[0. 0. 0.],0,[0. 0. 0.],0
What's so hard to understand? It's not yellow press source. There are some yellow press magazines in Finland but they didn't say anything about her sexual orientation. ,"I think that since she hasnt stated that she is gay and its a pretty serious issue for a person that it doesnt belong to a encyclopedia, based just on a finnish yellow press source and her looks. -",[1. 0. 0.],0,[0. 0. 1.],0
"Incidentally, please do the four tilde thing on article talk pages as well as user talk pages.  This whole thing really does work more smoothly if people sign their posts.  Thanks! ","Aha!  I've worked it out.  Nae bother, as the Scots say.  Have a gay day! ",[0. 0. 0.],0,[0. 0. 0.],0
" Nicholas is in my Philosophy class at college, he doesn't really speak unless spoken to, and is quite a humble and shy character.","Is this the same personal knowledge that tells you that Hoult is a lesbian, which you also added  to the article?  - ",[0. 0. 0.],0,[0.  0.5 0. ],0
See [[copyright policy. ,Please cite the particular section of policy that requires us to observe the draconian copyright laws of countries that we don't even have a diplomatic relationship with. - ,[0. 0.],0,[0. 0. 0.],0
"Huh? That was days ago and I thought it was resolved, ","Was he? I'm the one giving out personal info, and I have never defended the outing of individuals on WR or elsewhere. That I defend the right to link to non attacking pages on WR is surely my right, ",[0. 0. 0.],0,[0. 0. 0.],0
"You are being disruptive, Eep².  Please stop.  ","Yea, right. And yet there are numerous category:glossaries and DAB pages with basic dictionary definitions. Puh-leaze...that guideline argument cop out gets old. See my reply to Steve, too, Dek. ∞ |",[0. 1. 0.],0,[1. 1. 0.],1
"Yes, it's certainly too much process that's causing problems at DRV.  Wow, are people in an alternate universe here or something?  Rank insanity.  ", I'm hopeful that we'll see an end to or at least a very great reduction in procedural nominations. It's indeed a wasteful bit of bureaucracy in almost every case. ++: /,[1. 0. 1.],1,[0. 0. 1.],0
And the evolution of the meaning of this word is demonstrated in which source? —,"I reiterate the point about 'intent' of coining the term versus cultural 'evolution and use' of the term. In prior times, the term gay principally just meant ""happy"".",[0. 0. 0.],0,[0. 0. 0.],0
"Probably that they can't be expected/trusted to protect themselves from themselves.  After all, they go after self-promoting entities as hard as any other. ","I'm just curious how the ""This must die"" crowd would react to a person who says ""yeah I like that article""  /)",[0. 0. 0.],0,[0. 0. 1.],0
"Sorry, you lost me. I was responding to your question about using qualifiers in the lead section. I didn't add the MP3 newswire quote and I know nothing about it. ","I was referring to the ""largest grassroots effort the world had ever seen"" quote, which was made well after the given 1999 date, as far as I can tell. ",[0. 0. 0.],0,[0. 0. 0.],0
"Yep, but we all have to persevere. ","Yeah. Its pathetic, isn't it. ",[0. 0. 0.],0,[0. 0. 0.],0
"Too rare. Simply ""Dniester MR"" would be NPOV, but alas, ""Transnistria"" is more known in English. So it stays. "," The opposite of ""trans"". ",[0. 0. 0.],0,[0. 0. 0.],0
That personal attack on me is leading me to question your good faith. I am going to restore the last version of the user page as  left it (which is blank.) Sorry we couldn't agree. ,"You're daft. Tell you what, I will support the re-blanking of the page, but only if the ifd closes as delete on all of those images. -",[0. 0. 0.],0,[1. 0. 1.],1
huh?  Can you provide wikilinks?  I am not aware of separate pages for all of those. -  • ,"Three separate lists of reactors (Europe and CIS, Asia and Africa, America) were split from the original one mainly because of the page size limit and for to make editing of country sections easier.",[0. 0. 0.],0,[0. 0. 0.],0
Feel free to apologize on my talk page and then please avoid me if at all possible. ,I feel really stupid now... Did I not even read the template? I'm sorry. —,[1. 0. 0.],0,[1. 0. 0.],0
"Which produces such articulate and witty people, obviously. ","Yes the University of Cambridge, which is MUCH BETTER than the SHIT University of Sunderland",[0. 0. 0.],0,[1. 1. 0.],1
"Given the number of pop culture articles deleted under that argument, I respectfully disagree with your assessment. ","The word 'indiscriminate' in this particular policy never supported that argument. If by indiscriminate collections of information, you mean lists of loosely associated topics, then say so. –",[0. 0. 0.],0,[0. 0. 0.],0
"Then it should be mentioned in the article, if it relates to him.  ","It's coming out on October 17.  Someone mentioned it on a forum with a cover photo.  I don't know where it came from, but Amazon already has it up for preorder.  ",[0. 0. 0.],0,[0. 0. 0.],0
That is an incorrect '''assertion'''.    (don't forget to sign your posts),I'm getting the impression the word ''assert'' is not registering.The cabal of gay pornography editors,[0. 0. 0.],0,[0. 1. 0.],0
Should the Catholic church article entertain the possibility that the Pope doesn't believe in God and it's just a hoax? I like that logic! ,People have gone to such lengths to perpetrate hoaxes before.  Anyone remember the Church of Kurt Cobain?  I think the article should ''at least'' entertain the possibility that it's all just humor.,[1. 0. 0.],0,[0. 0. 1.],0
"This article was on my watchlist. Although, to tell you the truth, I have no idea why I put it there anymore. )  ",Thanks Garion - How the heck did you spot this?!! You Admins scare 'lil ole me ) ( ),[0. 0. 0.],0,[0. 0. 0.],0
Because Scorponok didn't have an actor: he is an animal. ,"Frenzy is definitely credited with a voice actor, I don't recall if Scorponok is as well. ",[0. 0. 1.],0,[0. 0. 0.],0
And also kind of ugly.  ,"""Archaeology"", ""archaeologist"" are more common, yes. ""Archeology"", like ""ameba"", is archaeic. ) ",[1. 0. 0.],0,[1. 1. 0.],1
 Good catch.  I removed it pending a reliable source.  ," Actually, it has two LGBT cats applied, and mentions the Drudge/White house gay Canadian thing, however, the article does not cite a single source, not one. - ",[0. 0. 0. 0. 0. 0.],0,[0. 0. 0. 0. 0. 0.],0
"If you learn it, it's not much of a PIA.  So don't give up!  We all went through this.  It's a little rusty but not all that hard when you get the hang of it.  ","It is getting out of hand mind you, we're encouraged to add images, but the image procedure is such a pain in the ass now... ",[0.  0.  0.5],0,[1. 1. 1.],1
"He's come back again - seems like he'll give up adding his links, though he's miffed about it. ",Thanks for trying.   ,[0. 0. 0.],0,[0. 0. 0.],0
 I removed ''the movement itself has been called ''The Dumbest Move the Dems Could Make'' by liberal journalist Michael Tomasky''. This is not sufficiently notable to mention in the intro. ," In any case, it's worth having something resembling neutrality in multiple places in the article, instead of hiding this information in one little section. ",[0. 0. 1.],0,[0. 0. 0.],0
"Okie dokie, those nasty little edits are now gone from your history ). ","I'd like anything he ever posted to my talk page removed, but I'll settle for that. ) Thanks. ",[0. 0. 0.],0,[1. 0. 0.],0
WP:CIVIL.  •,"What the fuck are you talking about? Oh, now you've got me angry. Of course I knew it existed. I saw the big template. I just think that's a more scholarly topic. And a slightly better article.   ",[0. 0.],0,[0. 0. 0.],0
"Now done. I've concentrated on the English, and haven't made any real changes to the content. I hope that it's been helpful. JH ",I'll try to find time this evening to give it a copyedit myself. JH ,[0. 0. 0.],0,[0. 0. 0.],0
"White people have white skin, those people have white skin. They are white people.  ",Take it up with the authors of sources 1 through 5 in the article. ,[0. 0. 0.],0,[0. 0. 1.],0
"Nope, I have no idea P  ","Oh dear, silly me! C'mon, you know what I mean. ",[0. 0. 0.],0,[0. 0. 0.],0
"PLAGURIZER! On behalf of Sharon I am suing your ass!
Relax, I am joking. ) ","Howdy-do, just stopping by for a little hello.  Are those page view statistics accurate?  How does one go about figuring that out?  All is well I hope? \",[1. 1. 1.],1,[1. 1. 1.],1
It's the ghost of gay cabals future. ,"""You are dead in the eyes of the WikiProject LGBT studies"" barnstar?  David ''''''",[1.  0.5 0. ],0,[0. 1. 0.],0
I think that someone leaving a template on your talk page may make you feel bad. It's too unpersonal and it makes it look like you're a vandal. ,That is possible. Why do you think so? ,[0. 1. 0.],0,[0. 0. 0.],0
I have indeed missed the kind of mature and intelligent discourse that your above post exemplifies.... Grow up for goodness' sake. ,"That's cute.  You missed me.  Sorry, I'm not gay. ",[0. 0. 1.],0,[0. 1. 1.],1
I think the rumor should be addressed in the article. Most wikipedia articles in other languages do (and seem to indicate that it's true aswell).,"For some reason, a bunch of anons think it's funny to keep linking to National Enquirer rumors that he's gay. ",[0. 0. 0.],0,[0. 0. 0.],0
"@Crskees: Are people not allowed to inquire about personal information of public figures all of a sudden, just because they happen to be left-wing?","True, he is married. Although I used to wonder the same thing.  If I didn't know any better, I would assume he was a homosexual.-",[0. 0. 0.],0,[0. 0. 0.],0
" Yes, please do. ", I couuld provide a sh*tload of material on the sparrow in Australia. Is this of interest.,[0. 0. 0.],0,[0. 0. 0.],0
" Feel free to run it manually at any time. Apparently now the bot is running well (currently at ""I""). I made the script more robust at the place it crashed last time.",The bot hasn't run on LGBT articles in almost a week - should I be concerned?  Should I run it manually?    | ,[0. 0. 0.],0,[0. 0. 0.],0
Quite true. Now can you please actually back up your position with something neutral and verifiable so we can stop going around in these stupid circles? ,Verifiability doesn't override neutrality,[0. 0. 0.],0,[0. 1. 1.],1
And here you see it being removed 45 days before I restored it. ,"The Gay Parade section has been entirely removed before at least one time, but probably more than that. This diff shows me rever'''t'''ing it. ",[0. 0. 0.],0,[0. 0. 1.],0
"Yep, all me.  I'm Sarah too, and an admin -)  Just let me log off this one and log back on to one of my others. -) ''''''"," Is is a example of iternet trolling, 5 people on the internet maybe all your personalities.",[0. 0. 0.],0,[0. 0. 1.],0
"Maybe you should put the question to the WikiProject discussion page, too. ",Anybody else for/against this? Bueller? ,[0. 0. 0.],0,[0. 0. 0.],0
"Oh, I see.  Please, please do not let ugly minds like his put you off English Wikipedia.  I would hate that to happen.  We need people like you; I need people like you.  ","None. But it´s only an IP, the User was already banned months ago.",[1. 1. 0.],1,[0. 0. 0.],0
Whew! This has been a hectic few days! I'll submit the CfD tomorrow. ," Done. I've moved the obvious candidates over. Next step is to create a CfD to rename Homophobia. I think you should submit it as sponsor, and I'll put a '''Support''' response. ",[0. 0. 0.],0,[0. 0. 0.],0
"I never got to thank you for watching my ass all the time, my little stalker ) —  ",Hehehehe yeah no kidding! |,[1.  1.  0.5],1,[1. 1. 1.],1
Test edit notice reverted. Thanks for your contributions. ,"Which was an honest mistake.  I meant to change ""Gay rights"" to ""Equal rights for gay and lesbian Americans.""  I fixed it. ",[0. 0. 0. 0. 0. 0.],0,[0. 0. 0. 0. 0. 0.],0
What the hell??? I must have hit CTRL-F5 hundreds of times!  —  •  • ,"Ah, now I remember why I didn't recommend using this 1px version + sizingMethod='crop'. It causes images to jump by a pixel or two when a border is used. Try  and you'll see what I mean. — ",[0.5 1.  1. ],1,[0. 1. 1.],1
"And that's the one that shows up on your user page, too )    | ","But when I look at just Portal:LGBT/Quote, there's only 1 quote there...     ",[0. 0. 0.],0,[0. 0. 0.],0
"I'm done with List of Pokémon (301-320)‎, if nobody else will, I will find more of these tomorrow. ","You're right, I will undo them. I shouldn't have been so damn lazy. ",[0. 0. 0.],0,[0. 0. 0.],0
"Actually, the text is contradicting itself. It seemingly talks about those living in homosexual relationships in some lines and only those with feelings in others. ",I don't like the term '''non-celibate'''.  I know of several people with homosexual feelings who are happily heterosexually married and hence non-celibate and not in a gay relationship. ,[0. 0. 0. 0. 0. 1.],0,[0. 0. 0. 0. 0. 0.],0
"In fact, it's on Image:Cherry Pie.JPG is gone, but the article Cherry Pie (album) is now using Image:Cherrypie.jpg. I don't know if I should delete the redlinked or not. ",I'll lend a hand. I replaced one yesterday that was not only disputed in rationale but also much too big. ,[0. 0. 0.],0,[0. 0. 0.],0
 He's on another one now:70.53.110.234 ,"Dynamic, he came back after Raul blocked his other account for two weeks for similar garbage...both originating out of Bell Canada in Toronto.",[0. 0. 0.],0,[0. 0. 0.],0
"oh just remove it I am tired of the page, I can't be bothered to look again. ","Shit! I added that! I will try and find (yet again) where I found it, I don't want to get too involved in all of this, I studiously avoid all this Italian aristo stuff as it is a minefield. ",[0. 0. 0.],0,[1. 1. 1.],1
"Come on dude, don't be a bum; you brought this to our attention to begin with.  I'll totally work on it if you do. ","It might be a while before I get on this, but I will. ",[1. 0. 1.],1,[0.  0.5 1. ],0
Maybe both ;) ,"Does that ""FU"" stand for ""Fair use"" or ""Fuck you"" (joking)? ",[0. 0. 0.],0,[0. 1. 0.],0
Cleared the cache.  I'm using Firefox 2.  What exactly am I supposed to be looking for? ,"Stupid question, but are you using a compatible browser? Twinkle doesn't work in IE. —   ",[0. 0. 0.],0,[0. 0. 0.],0
" Stop being ridiculous. Of course I am projecting my own attitudes, as are you. But I also obviously could find notable sources for any of the hackneyed comments I am making.","If you can quote a verifiable response from a notable CS you may do so. However, it sounds as though you are projecting your own attitudes. ",[0. 1. 1.],1,[1. 1. 1.],1
" Oh, if the Nightmare ""takes"" you, you'll know it dude! It's sort of like drinking absynthe and being chained in a hot tub for the next eight hours. – ","Hi. ""The Nightmare"" has taken me in a big way. Its a great painting, and a great article. ",[0. 0. 0.],0,[0. 0. 0.],0
 I know none of it matters; I was just correcting Hal Cross' inaccurate statements. —," But none of that matters - Hal's entire comment was an irrelevancy. It's clear that the AFA is involved in the wider debate around homophobia, regardless of what positions they hold in that debate. ",[1. 0. 0.],0,[0. 0. 0.],0
"You're ""metaphor"" is only missing that this is not two separate pages, but one page and other pages doesnt matter on this issue, it just doesnt make any sense, sry. ","JayKeaton, only if you treat it like a decease or something you ""can do anything about"". Dont compare the holocaust to being gay, that's just... gay. ",[0. 0. 0.],0,[0. 1. 0.],0
Harrrrrumph. I belive you said early November. But apparently my oh so subtle prods don't work. I guess it's sometime in November then.  ,"LOL! Silly I! ""Some time in November"" dear! Don't put me on a deadline! lmao. ",[0.  0.5 0. ],0,[0. 1. 0.],0
"Spot on. We needn't accept propositions at face value with all other perspectives ghettoed off into a criticism section, and we needn't go on and on at length. "," read my previous point. One of the problems I see is the tendency of these articles to describe aspects as facts rather than opinions, as well as being too lengthy for comfort.  ",[0. 1. 1.],1,[0. 0. 0.],0
That's much more clever than mine was.   ,Is this your first spoof?  You broke your cherry!. '''',[0. 0. 0.],0,[0. 0. 0.],0
"I tried it in my best Robert de Niro New York accent, as well as in Cockney, and there is some similarity. ",Hmmmm - never thought of that. Could have sounded like gay or goy indeed.  |,[0. 0. 0.],0,[0. 0. 0.],0
"Yeah fix them - I've got no interest in the articles. If you do, then sort them out rather than basically deleting their contents. ","""Fix them""? I really don't believe what I'm reading here. ",[0. 0. 0.],0,[1.  0.5 0.  0. ],0
I swear. I'll send you the PDF if you want.  ,"Adam, ye cannae be serious. ",[0. 0. 0.],0,[0.5 0.  0. ],0
You were mostly reverting to very old versions of the page.  ,"I wasn't making massive changed, I was adding more stuff.  Anyway, making massive changes is not a crime. You need to discuss the changes one at a time and not reject them in a lanket fashion.  ",[0. 0. 0.],0,[0. 0. 0.],0
"Yeah, sorry about the confusion. ",Makes sense. So I'm going to chage it for the next 10 days. ,[0. 0. 0.],0,[0. 0. 0.],0
"It's enough to fool search engines, and in time, it'll fool people.  I hope the joke dies down soon enough and people start accepting my request for anonymity.   ",This looks kind of like how Daredevil technically has a secret identity these days even though ''everyone'' knows he's Matt Murdock.  ,[0. 0. 0.],0,[0. 0. 0.],0
 You obviously need to get off that island and stop believing the world believes the garbage the trashy British press peddles to its ignorant masses.,You obviously havn't been paying much attention to F1 for the last 15 years. ,[1. 1. 1.],1,[0. 1. 1.],1
 Indulging in this kind of meta-argument has all the usefulness of naval-gazing.  Let's please keep to the topic. ,I am disputing the page's designation as a guideline.  ,[0.  0.  0.5],0,[0. 1. 1.],1
"WP:AGF applies to editors, not content.  ","Don't you think it's assuming bad faith to say it's homophobic? I think ""everyone's gay for bridget"" is pretty funny.  ",[0. 0. 0.],0,[0. 1. 0.],0
"If I'm following this Welsh-English dictionary correctly, I'll need a lot of ''lwc'' with my ''teclynnau'' in the first few days!   ","A.B. an admin?
How will he handle the tools?
I think he will rock.
A chroeso, llongyfarchion a pob lwc ag yr teclynnau!  ",[0. 0. 0.],0,[0. 0.],0
"Exactly... So what you reverted was quite correct, and I'm reverting it back again.  They most definitely do teach that male homosexuality is a form of ""sex magick"". You are now at 3RR.  ","This source does not represent OTO and is not ""in their own words"".  Sex magick can invovle any form of sexuality, solitary, heterosexual, or homosexual.  ",[1.  0.5 0. ],0,[0. 0. 1.],0
"Thank you for your recent revision, Greg.  ","That seems right - if you could provide specific references and put it in the text (or with a link), that would more or less settle the issue. ",[0. 0. 0.],0,[0. 0. 0.],0
"Closing GARs is crap isn't it? I hate doing it (see my comments in this thread). Anyway, I archived Force as renominate, as you suggested. Thanks for sorting out Opus Dei. ''''","Blimey, so much to do.  ",[0. 0. 1.],0,[1. 0. 1.],1
"By the way, the links that have been removed and replaced are a separate issue. I agree that they all don't have to be there but I don't have time now to review them all. ",Your personal experience is irrelevant.  ,[0. 0. 0.],0,[0. 0. 1.],0
I think we need to add something to the article about his acting career somewhere down the line. It's extremely significant.  ,Hell yeah bitch!  ,[0. 0. 0.],0,[0. 1. 0.],0
And on which others does it depend? —,Now - political suicide. When - depends on others.  ,[0. 0. 0.],0,[0. 0. 0.],0
Should be - in about four hours from now... The bot only runs once a day )    / ,It has the bisexual tag on the article and the project banner on the discussion page.  Will it still be picked up?  ,[0. 0. 0.],0,[0. 0. 0.],0
"ROTFL!  Thank you very much )  I've emailed the guy who made them - he's a Wikipedian , so I'm hoping he'll release PD or CC. If not, I'll find an outline of wings that will work.    / ","Pity that no-one has LGBT History month in April then. Satyr my love, I love the wings: you have fabulous taste. D  (Have a nice day!)",[0. 0. 0.],0,[0. 0. 0.],0
"Done by your e-manuensis (groan). It'd be great if you could find the time to wade into the clutter, particularly on the draft FAQ section wot I'm about to create )  ",I don't mind at all—I just didn't want to take over the page with my musings )  ,[0. 0. 0.],0,[0. 0. 0.],0
"Wait - do you mean ""Gay and lesbian royalty"", ""Bisexual royalty"" and ""Transgender and transsexual royalty""?    / ","I'd recommend dividing the category into ''three'' categories (or sub-categories). The three? Gay-Lesbian, Trans and Bi, and apply 'bi-sexual' category to James.  ",[0.  0.5 0.  0.  0.  0.  0.  0.  0.5],0,[0. 0. 1. 0. 0. 0. 0. 0. 1.],0
The fact that Mallerd thought it might be dangerous doesn't make it an urban legend. It should be removed from the article or sourced. ♣♣ (),"Hm, did some research by myself already and it says it is not dangerous. ) I add it to the article as an Urban legend.",[0. 0. 0.],0,[0. 0. 0.],0
"Yet at the same time he had the ""second number"", saying its still JoJo.  He did all the new packaging to hold his new audience, but it was still JoJo. - ","Yeah I can see that, but if you look at the Stone Ocean manga volumes; Araki set the volume number back to one.  ",[0.5 0.  0. ],0,[0. 0. 0.],0
"This is the funniest thing I've seen all day!   July 8, 2005 01:55 (UTC)","Kizzle, why don't you go back to sodomizing your grandmother, and leave my talk page alone?  8 July 2005 01:50 (UTC)",[0. 0. 0.],0,[0. 1. 1.],1
 Not really. MAUP is Ukraine's biggest embarrassment ever....  ,Is there any reason to assert that the view of the institution as a place that promotes antisemitism is only held by a minority? Do we have evidence that the poplualr view is otherwise?   ,[0. 0. 0.],0,[0. 0. 0.],0
This old revision seems to suggest that quite a few were deleted.  ,"Per this list of logos  it seems that all after M were deleted/fixed/de-catted.  Not an admin, so I can't see deleted contributions.  '''''' ",[0. 0. 0.],0,[0. 0. 0.],0
Bullshit.  ,It is no more a slur than the word Skopjan. '''''',[1. 1. 1.],1,[1. 1. 1.],1
"No, the full axiom of induction is not first-order. It becomes a first-order axiom schema if you limit the properties being considered to ones that can be defined by a first-order formula.  ","Aren't the axioms listed there (""these axioms"") all first-order?  ",[0. 0. 0.],0,[0. 0. 0.],0
Impressive considering he was dead by then  ,None other than John Lennon himself appeared in the curry monster outfit.   ,[0. 0. 0.],0,[0. 0. 0.],0
